group_id,group_name,ta_id,section_num,semester_year,course_id
1,Ankunding and Sons,30,16,Fall 2021,2
2,Lang and Sons,27,16,Fall 2021,2
4,Keeling Group,32,10,Spring 2024,3
4,Nader Group,25,26,Fall 2021,2
4,Von-Trantow,17,32,Spring 2024,19
5,"Keebler, Jast and Pfannerstill",27,21,Spring 2024,8
5,Kub Inc,31,23,Fall 2025,3
2,"King, Cummings and Zieme",17,4,Summer 2023,22
6,"Auer, Frami and Weissnat",13,11,Spring 2024,8
5,Gulgowski-Christiansen,26,22,Summer 2023,3
6,"Wolf, McDermott and Sipes",21,27,Summer 2023,22
5,Hand and Sons,15,8,Fall 2025,2
3,Langosh-Heaney,14,9,Spring 2024,22
6,"Vandervort, O'Reilly and Jacobs",11,21,Spring 2024,8
5,"Wyman, Witting and Oberbrunner",3,1,Summer 2023,2
2,Moore Group,3,18,Winter 2022,17
2,"Hickle, Wiegand and Heidenreich",8,10,Spring 2024,3
6,"Mueller, Lind and Treutel",16,2,Fall 2025,2
5,Lindgren Group,27,14,Fall 2025,17
2,"McGlynn, Feil and Rippin",5,5,Fall 2021,22
5,"Breitenberg, Ward and Hansen",34,5,Fall 2021,22
4,"Purdy, Konopelski and Shanahan",3,3,Spring 2024,2
5,"Greenfelder, Reinger and Schneider",29,28,Summer 2023,2
2,Lueilwitz and Sons,20,38,Spring 2024,1
4,"Lubowitz, Beier and Romaguera",13,33,Fall 2021,5
5,Cassin-Purdy,6,20,Spring 2024,1
6,Beier-Wehner,26,29,Fall 2021,12
5,"Hyatt, Lemke and Abernathy",33,1,Summer 2023,2
5,Rolfson Inc,8,3,Spring 2024,2
5,"Yost, Corwin and Schuppe",29,15,Summer 2023,2
6,Gerlach-Reilly,2,5,Fall 2021,22
4,"McKenzie, Block and Jacobson",29,35,Fall 2025,3
3,Homenick and Sons,5,16,Fall 2021,2
2,Haley Inc,15,5,Fall 2021,22
6,"Schumm, Macejkovic and Kiehn",28,22,Summer 2023,3
3,Bogan-Lakin,23,32,Spring 2024,19
1,Nikolaus-Mohr,34,21,Spring 2024,8
1,Kautzer-Price,4,14,Fall 2025,17
3,Denesik Group,14,37,Winter 2022,12
2,"Koelpin, Rempel and Cremin",1,25,Summer 2023,22
