section_num,semester_year,professor_id,course_id
1,Spring 2025,14,3
2,Spring 2025,10,6
2,Fall 2024,15,7
2,Spring 2025,24,9
2,Fall 2024,7,5
3,Fall 2024,17,17
1,Spring 2025,9,18
3,Spring 2025,26,26
3,Fall 2024,9,18
2,Spring 2025,15,7
2,Fall 2024,23,24
1,Spring 2025,5,9
2,Fall 2024,28,28
2,Fall 2024,25,25
1,Spring 2025,27,27
2,Spring 2025,22,22
3,Fall 2024,11,17
3,Spring 2025,2,7
2,Spring 2025,19,11
3,Spring 2025,26,26
1,Fall 2024,31,
3,Fall 2024,24,9
2,Spring 2025,26,26
1,Spring 2025,3,10
2,Spring 2025,15,7
2,Fall 2024,24,9
2,Fall 2024,26,26
2,Spring 2025,11,17
2,Spring 2025,30,30
2,Spring 2025,2,7
3,Fall 2024,10,6
3,Fall 2024,25,25
3,Spring 2025,8,2
1,Fall 2024,20,25
2,Spring 2025,4,16
3,Fall 2024,15,7
2,Spring 2025,27,27
2,Spring 2025,29,29
1,Fall 2024,29,29
2,Spring 2025,2,7
