student_id,course_id,semester_year,section_num
5,1,Spring 2024,38
4,2,Summer 2023,15
21,2,Fall 2021,16
40,3,Spring 2024,10
18,22,Spring 2024,9
26,12,Spring 2024,31
17,2,Spring 2024,3
13,17,Fall 2025,14
24,22,Spring 2024,9
33,8,Summer 2023,36
9,2,Fall 2021,26
26,2,Summer 2023,15
27,12,Fall 2025,17
30,3,Summer 2023,22
11,19,Fall 2021,7
27,2,Fall 2025,8
2,12,Spring 2024,31
21,2,Summer 2023,28
14,2,Spring 2024,3
7,7,Fall 2021,40
23,3,Spring 2024,10
9,22,Spring 2024,9
17,22,Winter 2022,12
40,19,Fall 2021,7
4,19,Fall 2021,7
18,2,Fall 2021,16
35,22,Summer 2023,25
32,12,Winter 2022,37
10,8,Fall 2021,6
12,19,Spring 2024,32
21,2,Fall 2021,26
11,5,Fall 2021,33
30,2,Fall 2021,16
38,3,Summer 2023,22
3,3,Fall 2025,23
34,22,Summer 2023,4
1,22,Spring 2024,30
25,22,Spring 2024,9
40,12,Spring 2024,31
13,22,Spring 2024,30
36,1,Spring 2024,38
8,2,Fall 2021,39
36,8,Spring 2024,11
26,2,Fall 2021,26
24,22,Fall 2025,34
18,3,Fall 2025,23
31,17,Summer 2023,19
33,12,Fall 2021,29
25,2,Fall 2021,39
11,3,Fall 2025,23
12,1,Spring 2024,38
1,8,Summer 2023,36
27,22,Fall 2025,34
20,2,Fall 2025,2
3,7,Fall 2021,40
30,22,Summer 2023,4
19,3,Fall 2025,24
25,22,Fall 2025,34
35,19,Fall 2021,7
30,2,Fall 2021,16
4,19,Fall 2021,7
12,2,Fall 2021,26
28,1,Spring 2024,20
14,19,Fall 2021,7
22,22,Spring 2024,9
10,12,Winter 2022,37
23,2,Fall 2025,8
5,19,Spring 2024,32
38,1,Spring 2024,20
16,22,Fall 2021,5
26,12,Winter 2022,37
6,3,Fall 2025,24
9,5,Fall 2021,33
16,22,Fall 2021,5
17,3,Fall 2021,13
19,22,Spring 2024,30
6,22,Winter 2022,12
37,2,Spring 2024,3
8,3,Summer 2023,22
9,8,Summer 2023,36
38,12,Fall 2021,29
22,1,Spring 2024,20
3,3,Fall 2021,13
31,17,Winter 2022,18
26,19,Spring 2024,32
27,17,Fall 2025,14
12,2,Summer 2023,28
31,19,Fall 2021,7
26,19,Spring 2024,32
39,2,Summer 2023,15
35,1,Spring 2024,20
11,22,Summer 2023,27
9,8,Fall 2021,6
29,22,Summer 2023,25
40,5,Fall 2021,33
15,2,Spring 2024,3
37,2,Fall 2025,8
21,3,Fall 2025,23
28,8,Spring 2024,21
30,22,Spring 2024,30
