student_id,speciality_description
10,Project Management with Agile and Scrum
15,Digital Marketing with SEO and SEM
26,Public Speaking and Presentation Skills
22,Graphic Design with Adobe Creative Suite
15,Project Management with Agile and Scrum
17,Cybersecurity with Ethical Hacking
12,Public Speaking and Presentation Skills
7,Project Management with Agile and Scrum
6,Digital Marketing with SEO and SEM
20,Web Development with JavaScript and React
23,Mobile App Development with Swift and Kotlin
6,Digital Marketing with SEO and SEM
29,Web Development with JavaScript and React
34,UI/UX Design with Figma and Sketch
16,Graphic Design with Adobe Creative Suite
37,Web Development with JavaScript and React
27,Project Management with Agile and Scrum
5,Data Analysis with Python and R
10,Graphic Design with Adobe Creative Suite
9,Content Writing and Copywriting
8,Graphic Design with Adobe Creative Suite
35,Project Management with Agile and Scrum
17,Content Writing and Copywriting
38,Mobile App Development with Swift and Kotlin
3,Web Development with JavaScript and React
22,Web Development with JavaScript and React
5,Digital Marketing with SEO and SEM
27,UI/UX Design with Figma and Sketch
25,Digital Marketing with SEO and SEM
38,Mobile App Development with Swift and Kotlin
35,Graphic Design with Adobe Creative Suite
6,Mobile App Development with Swift and Kotlin
14,Content Writing and Copywriting
31,UI/UX Design with Figma and Sketch
11,Data Analysis with Python and R
2,Digital Marketing with SEO and SEM
3,Digital Marketing with SEO and SEM
4,Web Development with JavaScript and React
38,Cybersecurity with Ethical Hacking
37,Data Analysis with Python and R
