ta_id,speciality_description
23,JavaScript programming
14,Adobe Photoshop proficiency
8,Python programming
32,Problem-solving skills
3,Python programming
14,Adobe Photoshop proficiency
27,Customer service experience
11,Time management skills
12,Problem-solving skills
19,Microsoft Excel proficiency
2,JavaScript programming
1,Java programming
18,Customer service experience
10,Spanish language proficiency
24,Leadership experience
29,Web development skills
26,Adobe Photoshop proficiency
8,Graphic design skills
2,JavaScript programming
4,French language proficiency
8,JavaScript programming
4,Public speaking skills
14,Problem-solving skills
34,JavaScript programming
25,Problem-solving skills
28,Adobe Photoshop proficiency
13,Customer service experience
4,Web development skills
27,Problem-solving skills
16,Python programming
1,Web development skills
26,French language proficiency
33,Data analysis skills
22,Graphic design skills
20,Leadership experience
6,Graphic design skills
5,Graphic design skills
19,Web development skills
28,Public speaking skills
2,French language proficiency
