availability_id,ta_id
26,21
15,5
39,32
21,15
5,22
35,5
10,4
21,25
29,28
21,9
34,8
37,22
14,26
24,5
18,30
39,10
8,34
34,17
29,33
31,11
4,7
3,31
17,22
16,21
34,8
27,10
35,22
11,2
22,23
38,5
28,1
15,32
2,22
1,30
8,22
18,14
18,34
4,4
35,18
3,17
6,33
32,23
4,2
27,29
20,14
25,24
32,30
15,20
37,9
30,15
29,2
32,17
7,7
2,30
29,23
22,6
34,22
35,34
26,13
23,20
10,33
11,28
15,22
25,16
4,6
3,35
13,4
31,17
39,21
28,19
26,1
4,9
34,3
19,12
32,20
7,4
34,10
36,34
25,11
3,14
19,16
34,18
22,25
3,14
24,22
34,15
10,8
27,33
34,31
6,2
22,17
29,22
36,18
39,3
15,20
29,12
20,22
2,17
31,10
21,8
